File,Hash,age,entrophy,exp,fix,la,ld,lt,nd,ndev,ns,nuc,rexp,sexp,Bugs
python/lammps.py,ae980d6fd1f7409c965cb0115849bd8118ee2995,76.27173611111111,0.0,212106.0,0,5,2,190,3,5,3,15,4323.083496204451,0,1
src/MC/fix_atom_swap.cpp,54210d7a9b2feacbcbbea49ac0dad7968bed641e,102.4997511574074,0.28357609711609094,1069.5,1,38,21,774,1,5,1,18,1.0053423802128032,0,1
src/MC/fix_gcmc.cpp,54210d7a9b2feacbcbbea49ac0dad7968bed641e,102.4997511574074,0.4832618345695419,1069.5,1,15,2,2206,1,5,1,69,1.0053423802128032,0,1
src/MC/fix_atom_swap.cpp,54210d7a9b2feacbcbbea49ac0dad7968bed641e,102.4997511574074,0.28357609711609094,1069.5,1,38,21,774,1,5,1,18,1.0053423802128032,0,0
src/MC/fix_gcmc.cpp,54210d7a9b2feacbcbbea49ac0dad7968bed641e,102.4997511574074,0.4832618345695419,1069.5,1,15,2,2206,1,5,1,69,1.0053423802128032,0,0
src/MC/fix_atom_swap.cpp,5cbf3cfba5f16b8c4b4f8a962c658024d5b7e953,172.04261574074073,0.0,2151.0,1,24,14,791,1,5,1,19,19.58107695598186,0,1
src/reader_xyz.cpp,ca55525283f0a63681fc48457bc92603eb037c50,27.93125,0.0,1081.0,1,2,0,216,1,5,1,5,1.0358021928843142,0,1
src/GPU/pair_eam_alloy_gpu.cpp,53a8a038e82b78ad0c22806ffbf63c3c98179c79,869.3699189814815,0.5017828179620815,141723.0,0,241,2,324,1,5,1,4,2.0021608864875664,0,0
src/GPU/pair_eam_fs_gpu.cpp,53a8a038e82b78ad0c22806ffbf63c3c98179c79,869.3699189814815,0.4981691116984072,141723.0,0,243,4,333,1,5,1,4,2.0021608864875664,0,0
src/MANYBODY/pair_comb.cpp,e5514189ba45f66e4389e1459585eef2185bf817,121.0184837962963,0.5,1088.5,1,3,1,2132,1,5,1,36,1.0085539817306395,0,1
src/MANYBODY/pair_tersoff.cpp,e5514189ba45f66e4389e1459585eef2185bf817,121.0184837962963,0.5,1088.5,1,3,1,780,1,5,1,39,1.0085539817306395,0,1
