File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
src/systems/dg_fem_context.C,6c4da39,4.0,16.0,3.0,475.0,1220.0,263.0,3.0,3.0,3.0,1.0,23.0,4.0,16.0,3.0,0.0,55.0,1949.0,399.0,962.0,336.0,548.0,219.0,339.0,39.0,481.0,711.0,338.0,1.0,372.0,28.0,28.0,33.0,1.0,5.0,0.23,142.0,142.0,160.0,55.0,1.0
src/systems/fem_context.C,6c4da39,4.0,16.0,3.0,475.0,1220.0,263.0,3.0,3.0,3.0,1.0,23.0,4.0,16.0,3.0,0.0,55.0,1949.0,399.0,962.0,336.0,548.0,219.0,339.0,39.0,481.0,711.0,338.0,1.0,372.0,28.0,28.0,33.0,1.0,5.0,0.23,142.0,142.0,160.0,55.0,1.0
src/fe/inf_fe_boundary.C,6c4da39,0.0,0.0,0.0,78.0,171.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,8.0,0.0,0.0,0.0,16.0,288.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
examples/systems_of_equations/systems_of_equations_ex7/systems_of_equations_ex7.C,6c4da39,16.0,69.0,4.0,137.0,521.0,86.0,11.0,11.0,11.0,1.0,89.0,16.0,69.0,4.0,1.0,7.0,742.0,137.0,492.0,192.0,336.0,86.0,0.0,29.0,366.0,440.0,168.0,5.0,267.0,29.0,29.0,29.0,1.0,9.0,0.17,74.0,74.0,75.0,7.0,1.0
src/solution_transfer/dtk_evaluator.C,6c4da39,0.0,0.0,0.0,24.0,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,0.0,0.0,0.0,13.0,66.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/solvers/trilinos_aztec_linear_solver.C,6c4da39,0.0,0.0,0.0,67.0,142.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,7.0,0.0,0.0,0.0,14.0,220.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/geom/edge_inf_edge2.C,6c4da39,0.0,0.0,0.0,23.0,61.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,14.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
examples/subdomains/subdomains_ex1/subdomains_ex1.C,6c4da39,49.0,135.0,107.0,126.0,300.0,263.0,9.0,9.0,9.0,1.0,290.0,31.0,57.0,79.0,0.0,2.0,687.0,90.0,120.0,57.0,86.0,206.0,234.0,41.0,93.0,110.0,48.0,1.0,61.0,16.0,16.0,17.0,1.0,7.0,1.72,17.0,17.0,18.0,2.0,1.0
src/quadrature/quadrature_gauss.C,6c4da39,22.0,65.0,19.0,81.0,198.0,82.0,10.0,7.0,10.0,1.0,104.0,22.0,65.0,19.0,0.0,3.0,357.0,81.0,197.0,40.0,141.0,82.0,0.0,1.0,134.0,167.0,32.0,0.0,135.0,12.0,9.0,12.0,1.0,3.0,0.42,29.0,22.0,29.0,3.0,1.0
src/numerics/dense_matrix_base.C,6c4da39,4.0,17.0,3.0,46.0,83.0,31.0,4.0,4.0,4.0,1.0,25.0,3.0,14.0,3.0,0.0,3.0,158.0,42.0,66.0,34.0,30.0,30.0,15.0,8.0,40.0,76.0,50.0,0.0,26.0,5.0,5.0,5.0,1.0,4.0,0.45,11.0,11.0,11.0,3.0,1.0
