File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,keyword_buggy
src/72_response/dfpt_prtph.F90,f4c5c2f,39.0,39.0,1.0,195.0,15.0,159.0,21.0,1.0,0.0,1.0,1.0,253.0,19.0,161.0,18.0,142.0,75.0,152.0,16.0,136.0,39.0,39.0,1.0,5.0,0.47,39.0,39.0,1.0,0.0
src/44_abitypes_defs/m_results_gs.F90,f4c5c2f,9.0,9.0,1.0,67.0,11.0,42.0,13.0,7.0,1.0,1.0,7.0,820.0,131.0,341.0,140.0,180.0,357.0,275.0,84.0,191.0,30.0,30.0,1.0,4.0,1.05,64.0,64.0,7.0,0.0
src/11_memory_mpi/m_profiling_abi.F90,f4c5c2f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,837.0,150.0,315.0,6.0,0.0,380.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0
src/41_geometry/holocell.F90,f4c5c2f,34.0,34.0,1.0,174.0,22.0,122.0,31.0,1.0,0.0,1.0,1.0,226.0,26.0,124.0,18.0,105.0,79.0,130.0,16.0,114.0,34.0,34.0,1.0,4.0,0.64,34.0,34.0,1.0,0.0
src/95_drive/iofn1.F90,f4c5c2f,37.0,37.0,23.0,220.0,28.0,155.0,39.0,1.0,0.0,1.0,1.0,273.0,31.0,157.0,32.0,106.0,89.0,121.0,22.0,99.0,37.0,37.0,23.0,4.0,0.57,37.0,37.0,23.0,0.0
src/56_mixing/findminscf.F90,f4c5c2f,6.0,6.0,1.0,98.0,16.0,64.0,18.0,1.0,0.0,1.0,1.0,160.0,22.0,66.0,22.0,43.0,74.0,53.0,16.0,37.0,6.0,6.0,1.0,3.0,1.12,6.0,6.0,1.0,0.0
src/69_wfdesc/m_shirley.F90,f4c5c2f,14.0,14.0,3.0,188.0,31.0,108.0,52.0,13.0,1.0,1.0,13.0,3174.0,498.0,1495.0,659.0,827.0,1240.0,1256.0,397.0,859.0,60.0,60.0,18.0,8.0,0.83,189.0,189.0,43.0,0.0
src/32_util/blow_pawuj.F90,f4c5c2f,3.0,3.0,1.0,36.0,9.0,15.0,12.0,1.0,0.0,1.0,1.0,74.0,13.0,17.0,9.0,7.0,46.0,15.0,8.0,7.0,3.0,3.0,1.0,1.0,2.71,3.0,3.0,1.0,0.0
src/65_paw/pawdfptenergy.F90,f4c5c2f,17.0,17.0,0.0,149.0,15.0,119.0,20.0,2.0,0.0,1.0,1.0,393.0,34.0,240.0,78.0,161.0,133.0,188.0,40.0,148.0,34.0,34.0,1.0,5.0,0.55,34.0,34.0,1.0,0.0
src/71_bse/m_haydock.F90,f4c5c2f,16.0,16.0,2.0,211.0,33.0,131.0,51.0,7.0,1.0,1.0,7.0,1818.0,268.0,960.0,367.0,585.0,634.0,821.0,221.0,600.0,28.0,28.0,4.0,6.0,0.66,115.0,115.0,15.0,0.0
