Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
berryphase_new.f90,167.0,167.0,14.0,1521.0,229.0,948.0,412.0,1.0,0.0,1.0,1.0,1632.0,232.0,950.0,191.0,758.0,520.0,768.0,84.0,684.0,167.0,167.0,14.0,11.0,0.55,167.0,167.0,14.0,0.0
create_nc_file.f90,1.0,1.0,1.0,43.0,9.0,17.0,17.0,1.0,0.0,1.0,1.0,78.0,12.0,19.0,10.0,1.0,49.0,10.0,9.0,1.0,1.0,1.0,1.0,0.0,2.58,1.0,1.0,1.0,0.0
m_ioarr.f90,13.0,13.0,6.0,153.0,25.0,94.0,36.0,7.0,1.0,1.0,5.0,1307.0,191.0,678.0,184.0,341.0,461.0,494.0,133.0,361.0,53.0,53.0,25.0,6.0,0.68,93.0,93.0,42.0,0.0
conducti_paw.f90,17.0,17.0,0.0,202.0,23.0,152.0,30.0,2.0,0.0,1.0,1.0,485.0,50.0,307.0,94.0,212.0,138.0,243.0,37.0,206.0,34.0,34.0,1.0,8.0,0.45,34.0,34.0,1.0,0.0
wvl_wfsinp_scratch.f90,2.0,2.0,1.0,164.0,25.0,105.0,38.0,1.0,0.0,1.0,1.0,217.0,28.0,107.0,24.0,1.0,88.0,24.0,22.0,2.0,2.0,2.0,1.0,1.0,0.82,2.0,2.0,1.0,0.0
smatrix.f90,25.0,25.0,0.0,250.0,45.0,121.0,92.0,2.0,0.0,1.0,1.0,610.0,94.0,245.0,41.0,203.0,291.0,203.0,26.0,177.0,51.0,51.0,1.0,8.0,1.19,51.0,51.0,1.0,0.0
outvars.f90,21.0,21.0,0.0,149.0,20.0,104.0,26.0,2.0,0.0,1.0,1.0,370.0,44.0,210.0,38.0,147.0,121.0,171.0,30.0,141.0,43.0,43.0,1.0,5.0,0.58,43.0,43.0,1.0,0.0
afterscfloop.f90,25.0,25.0,0.0,272.0,29.0,199.0,47.0,3.0,0.0,1.0,1.0,1016.0,90.0,601.0,148.0,350.0,336.0,441.0,109.0,332.0,76.0,76.0,1.0,6.0,0.56,76.0,76.0,1.0,1.0
psp9in.f90,4.0,4.0,0.0,202.0,30.0,109.0,70.0,2.0,0.0,1.0,1.0,479.0,65.0,220.0,37.0,9.0,212.0,58.0,34.0,24.0,8.0,8.0,1.0,1.0,0.96,8.0,8.0,1.0,1.0
m_iowf.f90,16.0,16.0,1.0,213.0,33.0,133.0,52.0,3.0,1.0,1.0,3.0,1569.0,231.0,872.0,110.0,197.0,511.0,285.0,78.0,207.0,37.0,37.0,1.0,5.0,0.59,50.0,50.0,3.0,1.0
mrggkk.f90,48.0,48.0,1.0,396.0,68.0,260.0,75.0,1.0,0.0,1.0,1.0,448.0,71.0,262.0,49.0,209.0,124.0,233.0,30.0,203.0,48.0,48.0,1.0,8.0,0.47,48.0,48.0,1.0,1.0
initaim.f90,22.0,22.0,3.0,195.0,28.0,137.0,32.0,2.0,0.0,1.0,1.0,445.0,60.0,276.0,65.0,206.0,116.0,246.0,27.0,219.0,45.0,45.0,7.0,4.0,0.42,45.0,45.0,7.0,1.0
m_wfk.f90,10.0,9.0,4.0,128.0,25.0,79.0,27.0,29.0,1.0,1.0,29.0,5229.0,970.0,2564.0,680.0,1031.0,1818.0,1455.0,422.0,1033.0,38.0,37.0,25.0,6.0,0.71,294.0,289.0,120.0,1.0
smatrix_k_paw.f90,8.0,8.0,1.0,69.0,14.0,43.0,18.0,1.0,0.0,1.0,1.0,118.0,18.0,45.0,18.0,26.0,63.0,43.0,17.0,26.0,8.0,8.0,1.0,6.0,1.4,8.0,8.0,1.0,1.0
chkvars.f90,16.0,16.0,8.0,307.0,31.0,215.0,62.0,1.0,0.0,1.0,1.0,345.0,34.0,217.0,15.0,201.0,97.0,211.0,12.0,199.0,16.0,16.0,8.0,5.0,0.45,16.0,16.0,8.0,1.0
m_model_screening.f90,6.0,6.0,3.0,72.0,10.0,45.0,17.0,11.0,1.0,1.0,11.0,1195.0,148.0,525.0,134.0,388.0,550.0,552.0,129.0,423.0,23.0,23.0,13.0,4.0,1.05,75.0,75.0,34.0,1.0
m_libxc_functionals.f90,6.0,6.0,1.0,64.0,11.0,39.0,14.0,17.0,1.0,1.0,17.0,1914.0,268.0,903.0,198.0,348.0,790.0,555.0,188.0,367.0,32.0,32.0,4.0,7.0,0.87,109.0,109.0,28.0,1.0
dsdr_k_paw.f90,10.0,10.0,1.0,85.0,15.0,52.0,25.0,1.0,0.0,1.0,1.0,135.0,19.0,54.0,20.0,33.0,71.0,51.0,18.0,33.0,10.0,10.0,1.0,7.0,1.31,10.0,10.0,1.0,1.0
