index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
2605,constantfolding.hh,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
2606,SelfadjointMatrixVector.h,4.0,25.0,2.0,49.0,208.0,33.0,6.0,6.0,6.0,1.0,31.0,4.0,24.0,2.0,0.0,7.0,281.0,49.0,197.0,116.0,76.0,33.0,4.0,7.0,154.0,185.0,122.0,0.0,63.0,26.0,26.0,26.0,1.0,2.0,0.17,43.0,43.0,44.0,7.0,0.0
2607,pathscale.hpp,0.0,0.0,0.0,6.0,101.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,5.0,0.0,0.0,0.0,6.0,98.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
2608,off_io.h,0.0,3.0,0.0,16.0,22.0,40.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,76.0,16.0,17.0,13.0,0.0,40.0,0.0,5.0,5.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.35,1.0,1.0,1.0,1.0,0.0
2609,dynamicsparsenumberbase.h,1.0,9.0,0.0,173.0,1048.0,88.0,6.0,6.0,6.0,1.0,10.0,1.0,9.0,0.0,0.0,76.0,1305.0,166.0,766.0,328.0,418.0,88.0,54.0,251.0,1115.0,1374.0,377.0,18.0,979.0,54.0,54.0,58.0,11.0,6.0,0.11,438.0,438.0,468.0,91.0,0.0
2611,sfc_pres_temp_wr.c,19.0,70.0,35.0,26.0,89.0,53.0,22.0,22.0,22.0,18.0,124.0,19.0,70.0,35.0,0.0,1.0,168.0,26.0,70.0,12.0,56.0,53.0,0.0,19.0,77.0,99.0,11.0,17.0,71.0,22.0,22.0,22.0,18.0,2.0,0.76,22.0,22.0,22.0,18.0,0.0
2612,parameter_multiaccessor.h,0.0,5.0,1.0,24.0,64.0,61.0,2.0,2.0,2.0,1.0,6.0,0.0,5.0,1.0,1.0,8.0,146.0,24.0,46.0,19.0,18.0,60.0,6.0,12.0,24.0,39.0,16.0,0.0,23.0,2.0,2.0,2.0,1.0,1.0,1.30,12.0,12.0,12.0,8.0,0.0
2613,rs6k.h,0.0,0.0,0.0,12.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,12.0,1.0,0.0,0.0,21.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.00,0.0,0.0,0.0,0.0,0.0
2616,cpp_compress.cc,1.0,22.0,4.0,66.0,656.0,127.0,8.0,5.0,12.0,3.0,27.0,1.0,22.0,4.0,1.0,28.0,827.0,66.0,650.0,139.0,417.0,127.0,0.0,6.0,333.0,580.0,145.0,3.0,432.0,68.0,68.0,147.0,44.0,7.0,0.20,217.0,152.0,328.0,86.0,0.0
2617,cpp_compress.hh,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,7.0,4.0,0.0,1.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
2618,result_of.hpp,0.0,0.0,0.0,45.0,150.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,42.0,81.0,60.0,1.0,22.0,18.0,62.0,42.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0
2619,intercept.hpp,0.0,0.0,0.0,0.0,270.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,10.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
