File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
AndersenThermostatImpl.h,75,40,8,22,2,15,2,14,1.82,2,1,1,1,1,4,3,1,0,0
AndersenThermostatProxy.cpp,68,30,5,28,18,6,15,8,1.07,3,2,2,2,1,9,9,0,0,0
AndersenThermostatProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
apibegin.h,84,30,12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
apiend.h,67,28,11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
arithmetic_ansi.h,133,26,22,79,26,21,41,21,0.33,12,2,2,2,1,7,7,0,1,0
arithmetic_sse_double.h,287,30,22,12,5,2,4,2,2.5,1,1,1,1,0,8,4,0,0,0
arithmetic_sse_float.h,287,31,21,12,5,3,4,3,2.58,2,2,2,2,1,6,6,0,0,0
asmjit.h,379,346,27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
assembler.cpp,379,53,89,227,156,57,127,48,0.23,24,2,2,2,1,12,9,1,2,0
assembler.h,543,248,96,189,58,98,53,90,1.31,34,1,1,1,1,4,4,0,0,0
AssertionUtilities.cpp,56,34,5,14,8,5,8,4,2.43,1,3,3,3,1,12,12,0,0,0
AssertionUtilities.h,65,35,15,3,0,3,0,2,11.67,0,0,0,0,0,0,0,0,0,0
base.h,34,9,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
BrownianIntegrator.cpp,82,30,8,38,21,8,25,11,0.79,6,2,2,2,1,6,6,0,0,0
BrownianIntegrator.h,144,99,7,34,6,18,6,17,2.91,6,1,1,1,1,3,3,0,0,0
BrownianIntegratorProxy.cpp,61,30,6,23,15,7,13,7,1.3,3,1,1,1,1,7,7,0,0,0
BrownianIntegratorProxy.h,17,1,5,8,0,6,0,5,0.12,0,0,0,0,0,0,0,0,0,0
