index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
850,nstencil_half_bin_2d_newton_ssa.h,0.0,1.0,0.0,10.0,18.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,43.0,8.0,8.0,6.0,0.0,15.0,5.0,7.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.88,1.0,1.0,1.0,1.0,0
851,atom_vec_sphere.h,0.0,1.0,0.0,11.0,62.0,32.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,105.0,9.0,54.0,51.0,0.0,32.0,3.0,7.0,48.0,50.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.59,1.0,1.0,1.0,1.0,0
852,pair_nm_cut_coul_long_omp.h,0.0,0.0,0.0,13.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,11.0,11.0,8.0,0.0,15.0,3.0,8.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0
853,pair_nm_cut_coul_long.h,0.0,0.0,0.0,14.0,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,12.0,29.0,26.0,0.0,39.0,3.0,7.0,24.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0
854,HSW_Pthread_KokkosCore_config.h,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
855,Kokkos_OpenMP_WorkGraphPolicy.hpp,0.0,5.0,0.0,15.0,48.0,47.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,5.0,107.0,15.0,44.0,24.0,8.0,47.0,0.0,4.0,12.0,20.0,12.0,1.0,7.0,3.0,3.0,3.0,1.0,2.0,1.07,7.0,7.0,7.0,5.0,0
856,fix_srp.h,0.0,0.0,0.0,15.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,13.0,31.0,28.0,0.0,15.0,3.0,8.0,26.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0
857,TestROCm_SharedAlloc.cpp,0.0,4.0,0.0,5.0,8.0,43.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,55.0,5.0,6.0,3.0,1.0,43.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.17,1.0,1.0,1.0,1.0,0
858,TestSharedAlloc.hpp,14.0,32.0,3.0,51.0,108.0,53.0,1.0,1.0,1.0,1.0,48.0,14.0,31.0,3.0,0.0,3.0,210.0,51.0,101.0,29.0,65.0,53.0,0.0,7.0,48.0,53.0,27.0,0.0,26.0,2.0,2.0,2.0,1.0,1.0,0.52,4.0,4.0,4.0,3.0,0
859,gather_unroll.hpp,12.0,108.0,0.0,14.0,113.0,42.0,2.0,2.0,2.0,1.0,120.0,12.0,43.0,0.0,0.0,1.0,169.0,14.0,46.0,16.0,54.0,42.0,21.0,46.0,22.0,25.0,15.0,0.0,10.0,2.0,2.0,2.0,1.0,1.0,0.91,2.0,2.0,2.0,1.0,0
860,Kokkos_Random.hpp,0.0,5.0,0.0,251.0,1488.0,265.0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,4.0,140.0,2004.0,181.0,1080.0,680.0,415.0,263.0,468.0,32.0,593.0,843.0,479.0,1.0,363.0,10.0,10.0,10.0,1.0,9.0,0.24,257.0,257.0,257.0,140.0,0
861,gather.hpp,0.0,18.0,0.0,3.0,47.0,42.0,9.0,9.0,9.0,1.0,18.0,0.0,18.0,0.0,0.0,1.0,92.0,3.0,23.0,5.0,16.0,42.0,0.0,24.0,10.0,18.0,2.0,0.0,16.0,9.0,9.0,9.0,1.0,1.0,1.83,9.0,9.0,9.0,1.0,0
862,ATC_Method.h,0.0,2.0,0.0,138.0,466.0,295.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,114.0,870.0,138.0,440.0,345.0,153.0,294.0,2.0,25.0,420.0,482.0,332.0,0.0,150.0,3.0,3.0,4.0,3.0,2.0,0.67,129.0,129.0,136.0,118.0,0
863,OutputManager.h,0.0,4.0,0.0,23.0,86.0,38.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,1.0,8.0,147.0,23.0,78.0,54.0,24.0,38.0,0.0,8.0,57.0,72.0,50.0,0.0,22.0,5.0,5.0,7.0,5.0,1.0,0.49,14.0,14.0,19.0,12.0,0
864,TimeFilter.h,0.0,3.0,0.0,200.0,355.0,218.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,10.0,99.0,769.0,200.0,348.0,252.0,98.0,218.0,0.0,7.0,231.0,241.0,150.0,0.0,91.0,3.0,3.0,4.0,1.0,1.0,0.63,101.0,101.0,103.0,99.0,0
