File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
src/KOKKOS/fix_setforce_kokkos.h,9695aa6,0.0,6.0,0.0,20.0,60.0,19.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,99.0,18.0,48.0,33.0,8.0,19.0,5.0,9.0,30.0,34.0,26.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.4,3.0,3.0,3.0,3.0,1.0
src/region.h,9695aa6,0.0,1.0,0.0,23.0,78.0,79.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,152.0,23.0,73.0,68.0,3.0,79.0,0.0,5.0,63.0,67.0,67.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.08,3.0,3.0,3.0,3.0,1.0
src/KOKKOS/atom_vec_hybrid_kokkos.h,9695aa6,0.0,1.0,0.0,21.0,104.0,36.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,161.0,19.0,94.0,91.0,1.0,36.0,3.0,9.0,73.0,75.0,74.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.38,1.0,1.0,1.0,1.0,1.0
src/USER-DPD/pair_dpd_fdt.cpp,9695aa6,4.0,22.0,2.0,80.0,311.0,69.0,5.0,5.0,5.0,1.0,28.0,4.0,22.0,2.0,0.0,13.0,455.0,80.0,292.0,46.0,217.0,69.0,0.0,19.0,223.0,287.0,45.0,0.0,242.0,19.0,19.0,22.0,11.0,6.0,0.24,64.0,64.0,71.0,23.0,1.0
src/USER-DPD/fix_eos_table_rx.cpp,9695aa6,5.0,27.0,2.0,157.0,629.0,94.0,6.0,6.0,6.0,1.0,32.0,5.0,27.0,2.0,0.0,23.0,873.0,157.0,613.0,147.0,456.0,94.0,1.0,16.0,468.0,600.0,145.0,0.0,455.0,20.0,20.0,21.0,8.0,4.0,0.15,136.0,136.0,144.0,41.0,1.0
src/KOKKOS/pair_exp6_rx_kokkos.h,9695aa6,0.0,6.0,0.0,40.0,101.0,80.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,218.0,38.0,89.0,84.0,0.0,80.0,5.0,9.0,55.0,57.0,57.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0
src/USER-DPD/pair_exp6_rx.h,9695aa6,0.0,0.0,0.0,16.0,57.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,146.0,14.0,49.0,45.0,0.0,80.0,3.0,7.0,43.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,1.0
src/USER-DPD/pair_multi_lucy_rx.h,9695aa6,0.0,0.0,0.0,19.0,59.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,162.0,17.0,51.0,47.0,0.0,84.0,3.0,7.0,45.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,1.0
src/KOKKOS/pair_hybrid_kokkos.cpp,9695aa6,8.0,23.0,5.0,33.0,87.0,39.0,8.0,8.0,10.0,2.0,36.0,8.0,23.0,5.0,0.0,3.0,159.0,33.0,71.0,12.0,52.0,39.0,0.0,16.0,53.0,79.0,12.0,0.0,67.0,23.0,23.0,29.0,5.0,4.0,0.55,25.0,25.0,31.0,7.0,1.0
src/MPIIO/dump_custom_mpiio.cpp,9695aa6,6.0,28.0,3.0,135.0,476.0,67.0,5.0,5.0,6.0,1.0,36.0,6.0,27.0,2.0,0.0,13.0,667.0,116.0,365.0,52.0,276.0,61.0,106.0,31.0,249.0,314.0,44.0,0.0,270.0,23.0,23.0,30.0,1.0,2.0,0.17,64.0,64.0,74.0,13.0,1.0
src/USER-DPD/pair_dpd_fdt_energy.cpp,9695aa6,5.0,26.0,2.0,102.0,405.0,77.0,5.0,5.0,6.0,1.0,32.0,5.0,26.0,2.0,0.0,15.0,579.0,102.0,386.0,65.0,290.0,77.0,0.0,19.0,299.0,378.0,64.0,0.0,314.0,24.0,24.0,29.0,11.0,6.0,0.2,79.0,79.0,88.0,25.0,1.0
src/KOKKOS/fix_shardlow_kokkos.h,9695aa6,0.0,2.0,0.0,28.0,91.0,55.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,171.0,26.0,64.0,60.0,2.0,55.0,12.0,17.0,60.0,61.0,53.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.86,2.0,2.0,2.0,2.0,1.0
src/USER-DPD/fix_shardlow.h,9695aa6,0.0,0.0,0.0,18.0,38.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103.0,16.0,26.0,22.0,0.0,51.0,5.0,9.0,20.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,1.0
src/USER-DPD/nstencil_ssa.h,9695aa6,0.0,1.0,0.0,8.0,13.0,16.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,37.0,8.0,9.0,7.0,2.0,16.0,0.0,4.0,4.0,7.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.78,2.0,2.0,2.0,2.0,1.0
src/USER-DPD/npair_half_bin_newton_ssa.cpp,9695aa6,10.0,75.0,4.0,39.0,239.0,35.0,18.0,18.0,21.0,7.0,88.0,10.0,75.0,4.0,0.0,3.0,311.0,39.0,226.0,59.0,188.0,35.0,0.0,13.0,183.0,235.0,59.0,1.0,175.0,51.0,51.0,60.0,20.0,13.0,0.15,53.0,53.0,62.0,22.0,1.0
src/USER-DPD/npair_half_bin_newton_ssa.h,9695aa6,0.0,0.0,0.0,11.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,9.0,15.0,12.0,0.0,16.0,5.0,7.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,1.0
src/USER-DPD/nbin_ssa.h,9695aa6,5.0,28.0,0.0,34.0,117.0,24.0,7.0,7.0,7.0,1.0,33.0,5.0,28.0,0.0,1.0,3.0,167.0,32.0,107.0,26.0,72.0,24.0,5.0,7.0,63.0,85.0,22.0,0.0,63.0,7.0,7.0,7.0,1.0,1.0,0.22,21.0,21.0,21.0,3.0,1.0
src/KOKKOS/region_block_kokkos.h,9695aa6,0.0,0.0,0.0,18.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0,16.0,28.0,25.0,0.0,26.0,5.0,8.0,17.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.0
src/KOKKOS/pair_hybrid_overlay_kokkos.cpp,9695aa6,6.0,26.0,6.0,18.0,61.0,28.0,11.0,11.0,11.0,6.0,38.0,6.0,26.0,6.0,0.0,2.0,107.0,18.0,52.0,11.0,37.0,28.0,0.0,9.0,40.0,62.0,12.0,0.0,50.0,21.0,21.0,21.0,11.0,5.0,0.54,22.0,22.0,22.0,12.0,1.0
src/KOKKOS/pair_tersoff_zbl_kokkos.cpp,9695aa6,6.0,31.0,1.0,253.0,1033.0,75.0,5.0,5.0,6.0,2.0,38.0,6.0,31.0,1.0,0.0,31.0,1361.0,253.0,1009.0,347.0,746.0,75.0,1.0,23.0,738.0,903.0,242.0,0.0,661.0,28.0,28.0,33.0,19.0,4.0,0.07,163.0,163.0,177.0,80.0,1.0
src/KOKKOS/rand_pool_wrap_kokkos.cpp,9695aa6,1.0,8.0,2.0,13.0,39.0,20.0,2.0,2.0,2.0,1.0,11.0,1.0,8.0,2.0,0.0,4.0,72.0,13.0,33.0,8.0,17.0,20.0,0.0,6.0,18.0,28.0,8.0,0.0,20.0,4.0,4.0,4.0,1.0,2.0,0.61,9.0,9.0,9.0,4.0,1.0
src/KOKKOS/bond_fene_kokkos.h,9695aa6,0.0,0.0,0.0,25.0,62.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,113.0,23.0,51.0,48.0,0.0,26.0,5.0,8.0,37.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.0
src/USER-DPD/pair_exp6_rx.cpp,9695aa6,9.0,48.0,2.0,220.0,1003.0,96.0,10.0,10.0,12.0,2.0,59.0,9.0,48.0,2.0,0.0,20.0,1319.0,220.0,976.0,136.0,747.0,96.0,1.0,27.0,722.0,931.0,130.0,0.0,801.0,40.0,40.0,57.0,12.0,5.0,0.1,207.0,207.0,237.0,54.0,1.0
src/USER-DPD/fix_rx.cpp,9695aa6,12.0,50.0,8.0,369.0,1353.0,246.0,12.0,12.0,13.0,2.0,70.0,12.0,50.0,8.0,0.0,26.0,1950.0,369.0,1296.0,361.0,988.0,246.0,1.0,57.0,1027.0,1327.0,352.0,11.0,964.0,54.0,54.0,54.0,12.0,6.0,0.19,304.0,304.0,328.0,58.0,1.0
src/KOKKOS/pair_tersoff_mod_kokkos.cpp,9695aa6,6.0,31.0,1.0,236.0,964.0,67.0,5.0,5.0,6.0,2.0,38.0,6.0,31.0,1.0,0.0,29.0,1267.0,236.0,940.0,314.0,691.0,67.0,1.0,23.0,705.0,860.0,227.0,0.0,633.0,27.0,27.0,32.0,19.0,4.0,0.07,153.0,153.0,167.0,74.0,1.0
src/KOKKOS/npair_ssa_kokkos.h,9695aa6,2.0,28.0,0.0,59.0,269.0,28.0,4.0,4.0,4.0,1.0,30.0,2.0,26.0,0.0,2.0,5.0,354.0,56.0,245.0,195.0,41.0,28.0,15.0,14.0,139.0,153.0,108.0,0.0,45.0,10.0,10.0,10.0,4.0,1.0,0.11,18.0,18.0,21.0,8.0,1.0
src/USER-DPD/pair_multi_lucy_rx.cpp,9695aa6,5.0,28.0,2.0,195.0,752.0,129.0,6.0,6.0,6.0,1.0,34.0,5.0,28.0,2.0,0.0,26.0,1072.0,195.0,729.0,173.0,554.0,129.0,1.0,23.0,556.0,707.0,162.0,0.0,545.0,28.0,28.0,33.0,7.0,5.0,0.18,151.0,151.0,164.0,39.0,1.0
