File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
eigen_gen_credits.cpp,3613,4.0,22.0,3.0,36.0,168.0,29.0,5.0,5.0,5.0,2.0,29.0,4.0,22.0,3.0,0.0,7.0,232.0,36.0,161.0,38.0,96.0,29.0,0.0,7.0,99.0,134.0,39.0,0.0,95.0,11.0,11.0,12.0,6.0,2.0,0.18,34.0,34.0,37.0,16.0,8,2.0,6
oclog.c,3614,1.0,17.0,1.0,15.0,110.0,7.0,4.0,4.0,5.0,1.0,18.0,1.0,17.0,1.0,0.0,6.0,132.0,15.0,104.0,23.0,68.0,7.0,0.0,6.0,63.0,88.0,17.0,0.0,71.0,7.0,5.0,8.0,1.0,2.0,0.07,24.0,21.0,28.0,6.0,26,16.0,22
miscellaneous_ex1.C,3617,35.0,74.0,114.0,89.0,171.0,269.0,1.0,1.0,1.0,1.0,209.0,3.0,6.0,4.0,0.0,2.0,501.0,25.0,15.0,6.0,4.0,50.0,388.0,30.0,7.0,10.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,3.33,2.0,2.0,2.0,2.0,9,10.0,10
eigen_sparse_linear_solver.C,3618,0.0,0.0,0.0,63.0,140.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,7.0,0.0,0.0,0.0,14.0,228.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8.0,10
statistics.h,3620,0.0,2.0,0.0,36.0,44.0,158.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,235.0,36.0,36.0,29.0,6.0,158.0,0.0,8.0,17.0,24.0,21.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,4.39,6.0,6.0,6.0,6.0,8,8.0,9
singleton_pool.hpp,3621,0.0,6.0,0.0,12.0,93.0,15.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,11.0,119.0,12.0,86.0,49.0,22.0,15.0,0.0,7.0,42.0,54.0,44.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.17,11.0,11.0,11.0,11.0,0,0.0,0
ne_pnvs.c,3622,12.0,56.0,6.0,17.0,61.0,67.0,6.0,6.0,6.0,5.0,73.0,12.0,56.0,6.0,0.0,1.0,144.0,17.0,56.0,10.0,39.0,67.0,0.0,5.0,30.0,36.0,5.0,0.0,31.0,6.0,6.0,6.0,5.0,2.0,1.2,6.0,6.0,6.0,5.0,0,0.0,0
tst_vlen_data.c,3623,23.0,97.0,18.0,27.0,110.0,26.0,69.0,69.0,74.0,35.0,136.0,23.0,97.0,18.0,0.0,1.0,161.0,27.0,97.0,23.0,65.0,26.0,0.0,13.0,206.0,245.0,22.0,0.0,223.0,69.0,69.0,74.0,35.0,4.0,0.27,69.0,69.0,74.0,35.0,18,14.0,16
ref_ctest64.c,3624,81.0,578.0,53.0,163.0,1159.0,105.0,2.0,2.0,2.0,1.0,664.0,81.0,540.0,53.0,0.0,2.0,1333.0,163.0,1080.0,291.0,721.0,105.0,0.0,79.0,926.0,929.0,289.0,0.0,640.0,2.0,2.0,2.0,1.0,1.0,0.1,3.0,3.0,3.0,2.0,16,14.0,14
ex_put_init_info.c,3625,19.0,91.0,11.0,23.0,95.0,63.0,14.0,14.0,16.0,14.0,120.0,19.0,91.0,11.0,0.0,1.0,180.0,23.0,91.0,11.0,68.0,63.0,0.0,4.0,45.0,59.0,7.0,0.0,52.0,14.0,14.0,16.0,14.0,2.0,0.69,14.0,14.0,16.0,14.0,0,0.0,0
