File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
SimTKOpenMMRealType.h,150,38,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SimTKOpenMMUtilities.cpp,386,153,78,148,91,39,80,31,1.03,12,3,3,3,1,18,12,2,4,0
SimTKOpenMMUtilities.h,225,150,38,31,4,28,0,20,4.84,2,1,1,1,1,1,1,0,0,0
SplineFitter.cpp,192,42,29,118,96,37,78,39,0.36,5,4,4,5,1,30,23,2,4,0
SplineFitter.h,95,74,7,11,0,8,0,7,6.73,0,0,0,0,0,0,0,0,0,0
State.cpp,144,30,16,96,44,25,46,27,0.31,25,1,1,1,1,4,4,0,0,0
State.h,149,89,9,45,0,39,0,38,1.98,0,0,0,0,0,0,0,0,0,1
StateProxy.cpp,202,42,7,150,110,39,81,41,0.28,3,10,10,10,1,54,49,4,1,0
StateProxy.h,17,1,5,8,0,6,0,5,0.12,0,0,0,0,0,0,0,0,0,0
System.cpp,121,30,16,70,43,15,52,16,0.43,13,2,2,3,1,5,5,0,0,0
System.h,255,183,9,59,10,36,10,34,3.1,8,1,1,1,1,3,3,0,0,0
SystemProxy.cpp,125,30,5,84,58,34,45,36,0.36,3,6,6,6,1,27,27,0,0,0
SystemProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
test.c,318,16,15,253,178,26,189,26,0.06,4,10,10,10,1,51,45,1,1,0
TestCpuEwald.cpp,273,43,32,185,139,79,151,85,0.23,4,11,11,13,1,54,45,3,6,0
TestCpuGBSAOBCForce.cpp,244,44,21,172,137,71,145,79,0.26,4,10,10,13,1,47,42,3,3,0
TestCpuLangevinIntegrator.cpp,283,43,30,199,147,83,158,89,0.22,6,9,9,10,1,38,33,2,3,0
TestCpuNeighborList.cpp,127,36,9,73,54,27,48,29,0.49,2,9,9,10,2,39,36,2,2,0
TestCpuNonbondedForce.cpp,650,48,46,542,430,229,486,256,0.09,11,13,13,19,1,53,49,1,3,0
TestCpuPeriodicTorsionForce.cpp,133,34,10,80,55,40,77,49,0.42,3,9,9,14,1,26,25,0,1,0
TestCpuPme.cpp,139,37,14,76,46,31,46,34,0.49,4,3,3,4,1,20,17,1,2,0
TestCpuRBTorsionForce.cpp,152,34,10,99,70,51,89,60,0.34,3,11,11,15,1,33,32,0,1,0
TestCpuSettle.cpp,120,34,9,68,49,22,47,24,0.5,2,5,5,5,2,35,33,1,2,0
