function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
OpenCLCustomGBForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomGBForceInfo::OpenCLCustomGBForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomHbondForceInfo::areGroupsIdentical,5,5,11,5,1,5,1,0
OpenCLCustomHbondForceInfo::areParticlesIdentical,1,1,1,1,0,1,0,0
OpenCLCustomHbondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomHbondForceInfo::getParticlesInGroup,11,11,11,3,2,24,1,0
OpenCLCustomHbondForceInfo::OpenCLCustomHbondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomManyParticleForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCustomManyParticleForceInfo::areParticlesIdentical,4,4,4,4,2,4,1,0
OpenCLCustomManyParticleForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomManyParticleForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomManyParticleForceInfo::OpenCLCustomManyParticleForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::areParticlesIdentical,4,4,5,4,2,5,1,0
OpenCLCustomNonbondedForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::OpenCLCustomNonbondedForceInfo,5,5,5,1,3,6,1,0
OpenCLCustomTorsionForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomTorsionForceInfo::OpenCLCustomTorsionForceInfo,1,1,1,1,0,1,0,0
OpenCLDrudeForceInfo::areGroupsIdentical,3,3,8,3,1,3,0,0
OpenCLDrudeForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLDrudeForceInfo::getParticlesInGroup,5,5,5,1,2,9,1,0
OpenCLDrudeForceInfo::OpenCLDrudeForceInfo,1,1,1,1,0,1,0,0
OpenCLGayBerneForceInfo::areGroupsIdentical,2,2,4,1,1,2,0,0
OpenCLGayBerneForceInfo::areParticlesIdentical,1,1,8,1,0,1,0,0
OpenCLGayBerneForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
