File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
contrib/netcdf/4.2.1.1/ncgen/genc.c,0ebe32f,3.0,50.0,4.0,78.0,1035.0,96.0,9.0,6.0,9.0,1.0,55.0,3.0,38.0,3.0,0.0,15.0,1187.0,66.0,578.0,84.0,447.0,75.0,448.0,42.0,356.0,467.0,65.0,4.0,398.0,36.0,36.0,36.0,1.0,4.0,0.13,130.0,92.0,136.0,15.0,1.0
contrib/netcdf/4.3.0/ncgen/genc.c,0ebe32f,3.0,50.0,4.0,78.0,1035.0,96.0,9.0,6.0,9.0,1.0,55.0,3.0,38.0,3.0,0.0,15.0,1187.0,66.0,578.0,84.0,447.0,75.0,448.0,42.0,356.0,467.0,65.0,4.0,398.0,36.0,36.0,36.0,1.0,4.0,0.13,130.0,92.0,136.0,15.0,1.0
contrib/netcdf/4.2.1.1/libdispatch/nc_uri.c,0ebe32f,4.0,37.0,4.0,56.0,355.0,69.0,13.0,13.0,15.0,3.0,43.0,4.0,36.0,4.0,0.0,9.0,466.0,56.0,329.0,70.0,243.0,69.0,10.0,16.0,232.0,331.0,52.0,1.0,278.0,33.0,33.0,45.0,15.0,3.0,0.21,113.0,113.0,133.0,31.0,1.0
contrib/netcdf/4.2.1.1/include/nc_uri.h,0ebe32f,0.0,0.0,0.0,11.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,21.0,21.0,0.0,23.0,0.0,7.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.0
src/systems/system_projection.C,0ebe32f,9.0,60.0,13.0,391.0,2036.0,591.0,8.0,8.0,9.0,3.0,81.0,8.0,56.0,12.0,5.0,28.0,2992.0,301.0,1632.0,606.0,1140.0,427.0,619.0,32.0,849.0,1087.0,339.0,0.0,748.0,75.0,75.0,81.0,25.0,9.0,0.26,236.0,236.0,255.0,98.0,1.0
src/solvers/petsc_diff_solver.C,0ebe32f,0.0,0.0,0.0,79.0,161.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,6.0,0.0,0.0,0.0,14.0,266.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libdispatch/ddim.c,0ebe32f,0.0,8.0,0.0,10.0,68.0,367.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,0.0,8.0,445.0,10.0,67.0,32.0,27.0,367.0,0.0,1.0,35.0,54.0,24.0,0.0,30.0,3.0,3.0,3.0,3.0,1.0,5.48,19.0,19.0,19.0,14.0,1.0
contrib/netcdf/4.3.0/libdispatch/ddim.c,0ebe32f,0.0,8.0,0.0,10.0,68.0,367.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,0.0,8.0,445.0,10.0,67.0,32.0,27.0,367.0,0.0,1.0,35.0,54.0,24.0,0.0,30.0,3.0,3.0,3.0,3.0,1.0,5.48,19.0,19.0,19.0,14.0,1.0
contrib/netcdf/4.2.1.1/libdap2/ncdap3a.c,0ebe32f,3.0,30.0,5.0,93.0,603.0,115.0,9.0,9.0,10.0,3.0,37.0,3.0,28.0,5.0,0.0,20.0,800.0,93.0,573.0,147.0,397.0,115.0,9.0,21.0,433.0,575.0,127.0,35.0,413.0,21.0,21.0,21.0,8.0,6.0,0.2,173.0,171.0,190.0,75.0,1.0
contrib/netcdf/4.3.0/libdap2/ncdap3a.c,0ebe32f,3.0,30.0,5.0,93.0,603.0,115.0,9.0,9.0,10.0,3.0,37.0,3.0,28.0,5.0,0.0,20.0,800.0,93.0,573.0,147.0,397.0,115.0,9.0,21.0,433.0,575.0,127.0,35.0,413.0,21.0,21.0,21.0,8.0,6.0,0.2,173.0,171.0,190.0,75.0,1.0
