hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
e519cfb1dccb2d9554f97b243802c62972372b25,2016-07-22 22:50:41,1,1,1,0.0,4,4,758.0,5,4.241527777777779,34,91285.0,1.2357641049150268,32184,0,0,0
87bfe1941b6f4252c34f14c67ac789d693aa87ed,2016-07-22 22:51:37,1,1,1,0.0,1,1,339.0,5,266.1163310185185,17,91286.0,1.0037577550997063,32185,0,0,0
cff65b956adcee7cf5c5a6a7868382f9bf17bb41,2016-07-22 22:52:03,1,2,5,1.433920481790646,22,55,1051.0,5,18.195634259259254,60,91289.0,1.0291981584960699,32190,0,0,1
87a6c1368f6f1e5771fe6a0b7bccfd99d8203a26,2016-07-22 22:56:08,1,1,3,0.8183844781249782,34,1,315.6666666666667,5,135.92594135802472,193,91293.0,1.0097886697439191,32193,0,0,0
2f936d5e564bf170377d188bbf415288094a50cf,2016-07-22 22:57:39,1,1,1,0.0,3,2,594.0,5,0.0010532407407407409,33,91295.0,950.4505494505496,32194,0,0,0
778f4d338c784d4697c1ca70ac1622d02d204b43,2016-07-22 22:57:54,1,3,22,2.615665642673271,694,246,227.3181818181818,5,1069.7926373106063,73,91306.5,1.0011507438549072,144,1,1,1
952a0d1fb776227b0f22236af43f7920ed020068,2016-07-22 22:58:42,1,1,1,0.0,3,0,656.0,5,0.0005555555555555557,23,91318.0,1801.0,145,0,0,0
7dc6873c513cb2953682876c60fccbad00ad9cc6,2016-07-22 22:59:39,1,1,6,1.3619346692201806,2303,0,0.0,1,0.0,0,91321.5,0.0,151,0,0,0
c04c7756318ebfa5240f8cd642a27a0d27cf34db,2016-07-22 23:04:25,1,1,1,0.0,1,1,1.0,5,6.990844907407408,971,91325.0,1.143044226162193,32195,0,0,0
caf9483a0a7ca06928388437f01883c04552e233,2016-07-22 23:05:05,1,3,3,1.5,4,4,278.0,5,6.990833333333334,61,91327.0,1.0874160607144276,34721,0,0,0
08ac3d54dd9480dd01016df12e5a5d1b2e1e2d31,2016-07-23 00:24:54,1,1,3,1.1660870601063933,14,3,1066.0,5,20.83568287037037,302,91330.0,1.1195175663229249,32198,0,0,0
751786364debcc7cfad9e8f433c8327c065e5d00,2016-07-23 16:11:53,1,1,2,1.0,4,2,608.5,5,35.68307870370371,12,91332.5,1.021018365770164,32200,0,0,0
8c04540e8a481abd05d9979196053163b7d9e03e,2016-07-25 19:55:01,1,2,2,1.0,4,2,908.0,6,66.57314236111111,59,91334.5,1.008698060460215,32202,1,1,1
f784f07b87434a625efa788bdc759a6e11b24685,2016-07-26 15:28:31,1,1,4,0.9178599949148109,93,19,780.25,5,185.02615740740745,137,1.5,0.7515809001010499,3,1,1,1
ddd85f006cc8d4c67c639ca60a3f51e6839db1d4,2016-07-27 14:04:56,1,5,17,2.9646140740389018,527,389,620.1176470588234,5,187.5263616557734,428,91344.0,1.0007219049969491,32219,0,0,0
c1fc5aef12faefebebfd86125d463782ee560792,2016-07-27 14:08:32,1,1,2,0.9940302114769564,41,14,368.0,5,56.91940972222223,5,91353.5,1.013176524557443,34723,0,0,0
ee24be38cbc348fe86274a1026447d7c6d89ac0f,2016-07-27 14:09:42,1,1,2,0.9182958340544896,5,1,533.5,4,11.655844907407408,11,91355.5,1.0643453997507608,5971,0,0,0
ef6ff80366a7588b1a1f21723a0a5e5e4b4b23f8,2016-07-27 14:13:02,1,2,5,2.058899990552701,69,12,378.2,5,46.46526851851853,74,91359.0,1.0081809857277515,34728,0,0,0
6b79bbfaf39dff3b9efd838d5b737477201e9ff1,2016-07-27 15:48:50,1,1,1,0.0,13,16,997.0,5,111.69439814814815,11,1729.0,1.008953000477908,249,0,0,0
2479d8031cc871f50445dbde49fbd1857df91c5b,2016-07-27 21:16:09,1,1,1,0.0,1,0,507.0,5,57.19655092592593,5,1287.0,1.0174835717156279,493,0,0,0
ae255c847bf7a5dfb6f83d7ffedd0dab2c7cc1ba,2016-07-27 22:51:18,1,5,6,2.3774932680909977,22,12,1224.8333333333333,5,86.36592399691358,170,91364.5,1.4691928414804227,32225,0,0,0
5241c0326e4ba2d5cb15aa01d54d7f5e4905eba8,2016-07-27 23:03:59,1,1,1,0.0,32,6,119.0,5,79.23704861111109,1,1288.0,1.012620359005393,372,0,0,0
e8c5280ad9d6d430f17e8abf86dd28ed80ccab0b,2016-07-27 23:06:18,1,1,3,0.7519320858728331,180,36,354.0,5,234.2989467592593,61,1290.0,1.0067687833320245,496,1,1,1
a91dae3f2b81c89b188425320f1547c0fb746022,2016-07-27 23:26:29,1,1,1,0.0,44,38,145.0,5,0.015625,2,91368.0,65.0,34729,0,0,0
308461125e72388bc665b198e0f95edce0294ed9,2016-07-27 23:27:21,1,2,3,1.0905832007767728,106,40,146.66666666666666,5,52.96138503086419,53,91370.0,1.008406949476529,34732,0,0,0
a01058e7d27fff1ce89ac8ed759698762a2b546f,2016-07-27 23:34:21,1,1,1,0.0,1,1,1.0,5,5.020787037037037,972,91372.0,1.1991719610139329,32226,0,0,0
e561aa052909a625134b19eb6b56512f49b8d447,2016-07-27 23:34:59,1,3,4,1.9219280948873625,5,5,208.75,5,3.766898148148148,116,91374.5,1.1161652043465335,34736,0,0,0
f2f9fe0a652198775868d81afbdb355798fb7bbe,2016-07-28 13:43:23,1,1,1,0.0,6,8,2121.0,5,0.9850347222222222,107,91377.0,2.0151926398533613,32227,0,0,0
c95ec24d1a7b81638e59353485a1c0957e8a4e5a,2016-07-28 13:51:40,1,2,6,2.3552906944979544,25,9,399.83333333333326,5,81.21491512345679,180,91380.5,1.0080366772922704,32233,0,0,0
70bfc1c0979a58de94ff56dde759a18a479a933e,2016-07-28 13:52:57,1,1,2,1.0,2,2,381.5,5,0.9891782407407408,7,91384.5,1.7582051132042358,34738,0,0,0
87b66263580fa3d316bb0bde0f9e71c26da457a1,2016-07-28 13:53:23,1,2,5,2.3219280948873617,5,5,389.6,5,0.9083055555555556,81,91388.0,1.4664691349051724,34743,0,0,0
cf2aa231f56204869327753fad1a948ae6cae7c6,2016-07-28 18:09:57,1,1,2,0.35335933502142136,13,2,585.0,5,12.381122685185185,96,91391.5,1.1054060216080528,32235,1,0,0
b8bf3ae5b0d7e43b522c44fea87af64704e9b3a0,2016-07-29 14:24:21,1,1,1,0.0,2,2,187.0,3,13.656701388888886,4,91393.0,1.0732241242979508,5972,0,0,0
f486709150d59d8ec459b947bc18000bcb7ab734,2016-07-29 14:28:54,1,1,2,1.0,18,6,894.5,4,143.87370370370368,2,91394.5,1.0052129053516587,32237,0,0,0
b936d69f127a11915cd6e31a17c8ea56a05931f1,2016-07-29 14:28:58,1,1,2,0.9967916319816366,28,17,465.0,5,385.79526041666674,74,91396.5,1.0126638897553195,32239,0,0,0
642c01a15088dc34b6351d20336aa47eda749dd6,2016-07-29 14:32:49,1,3,4,1.950212064914747,7,7,125.25,5,60.91656539351853,57,91399.5,1.0071982190418791,34747,0,0,0
