File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
lammps/lib/atc/ATC_TransferPartitionOfUnity.h,2116,0.0,1.0,0.0,19.0,28.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,59.0,19.0,24.0,20.0,1.0,12.0,0.0,4.0,14.0,15.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0,0,0
lammps/src/USER-EFF/fix_nvt_sllod_eff.cpp,2117,5.0,22.0,3.0,24.0,79.0,28.0,6.0,6.0,6.0,1.0,30.0,5.0,22.0,3.0,0.0,3.0,130.0,24.0,68.0,16.0,50.0,28.0,0.0,11.0,47.0,66.0,16.0,0.0,50.0,7.0,7.0,7.0,3.0,3.0,0.41,17.0,17.0,17.0,5.0,0,0,0
lammps/src/GPU/pair_eam_fs_gpu.cpp,2118,14.0,46.0,11.0,67.0,195.0,71.0,14.0,14.0,15.0,2.0,71.0,14.0,46.0,11.0,0.0,4.0,333.0,67.0,186.0,23.0,144.0,71.0,0.0,9.0,169.0,225.0,23.0,0.0,202.0,19.0,19.0,20.0,5.0,4.0,0.38,55.0,55.0,58.0,11.0,0,0,0
lammps/src/USER-COLVARS/colvarproxy_lammps.cpp,2119,1.0,12.0,1.0,76.0,355.0,31.0,2.0,2.0,2.0,1.0,14.0,1.0,12.0,1.0,0.0,27.0,462.0,76.0,322.0,79.0,191.0,31.0,7.0,26.0,138.0,202.0,51.0,0.0,151.0,7.0,7.0,9.0,3.0,3.0,0.1,65.0,65.0,67.0,29.0,0,0,0
lammps/lib/colvars/colvaratoms.h,2120,0.0,4.0,0.0,76.0,88.0,168.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,2.0,3.0,332.0,76.0,83.0,67.0,8.0,168.0,0.0,5.0,66.0,72.0,64.0,0.0,8.0,3.0,3.0,3.0,1.0,1.0,2.02,5.0,5.0,5.0,3.0,0,0,0
lammps/lib/colvars/colvarproxy.h,2121,0.0,4.0,0.0,50.0,54.0,49.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,5.0,153.0,50.0,50.0,39.0,22.0,49.0,0.0,4.0,25.0,31.0,26.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,0.98,6.0,6.0,6.0,5.0,0,0,0
lammps/src/USER-COLVARS/colvarproxy_lammps.h,2122,0.0,1.0,0.0,33.0,97.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,21.0,147.0,33.0,84.0,72.0,23.0,17.0,0.0,13.0,81.0,81.0,61.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.2,21.0,21.0,21.0,21.0,0,0,0
lammps/src/USER-OMP/pair_buck_coul_long_omp.cpp,2124,5.0,32.0,1.0,33.0,146.0,19.0,6.0,6.0,6.0,1.0,38.0,5.0,32.0,1.0,0.0,4.0,197.0,33.0,128.0,27.0,94.0,19.0,1.0,18.0,93.0,116.0,25.0,0.0,91.0,13.0,13.0,14.0,1.0,6.0,0.15,22.0,22.0,24.0,4.0,0,0,0
lammps/lib/poems/poemsnodelib.h,2125,1.0,9.0,3.0,35.0,85.0,50.0,2.0,2.0,2.0,1.0,12.0,1.0,9.0,3.0,0.0,8.0,162.0,35.0,81.0,20.0,35.0,50.0,0.0,4.0,38.0,54.0,20.0,0.0,34.0,3.0,3.0,4.0,1.0,2.0,0.62,17.0,17.0,18.0,8.0,0,0,0
lammps/lib/atc/Thermostat.cpp,2126,1.0,14.0,3.0,250.0,1354.0,798.0,2.0,2.0,2.0,1.0,17.0,1.0,14.0,3.0,0.0,98.0,2381.0,250.0,1348.0,348.0,753.0,798.0,0.0,6.0,580.0,805.0,222.0,0.0,583.0,38.0,32.0,44.0,3.0,7.0,0.59,218.0,212.0,232.0,100.0,0,0,0
lammps/src/fix_spring_rg.cpp,2129,2.0,12.0,1.0,25.0,83.0,27.0,2.0,2.0,2.0,1.0,14.0,2.0,12.0,1.0,0.0,6.0,135.0,25.0,72.0,23.0,43.0,27.0,0.0,11.0,46.0,62.0,23.0,0.0,39.0,3.0,3.0,3.0,1.0,2.0,0.38,14.0,14.0,14.0,6.0,0,0,0
lammps/src/KSPACE/remap.cpp,2130,29.0,109.0,13.0,127.0,443.0,133.0,25.0,25.0,29.0,4.0,151.0,29.0,109.0,13.0,0.0,4.0,702.0,127.0,436.0,71.0,351.0,133.0,0.0,7.0,300.0,392.0,51.0,0.0,341.0,64.0,64.0,76.0,13.0,7.0,0.31,98.0,98.0,117.0,16.0,0,0,0
lammps/lib/atc/Matrix.cpp,2131,4.0,29.0,10.0,35.0,210.0,90.0,4.0,3.0,4.0,1.0,38.0,4.0,29.0,10.0,0.0,7.0,303.0,35.0,203.0,76.0,124.0,90.0,2.0,6.0,149.0,176.0,69.0,19.0,88.0,6.0,6.0,6.0,1.0,3.0,0.44,25.0,23.0,25.0,7.0,0,0,0
lammps/src/main.cpp,2133,3.0,9.0,0.0,7.0,14.0,15.0,1.0,1.0,1.0,1.0,12.0,3.0,9.0,0.0,0.0,1.0,36.0,7.0,10.0,2.0,6.0,15.0,0.0,4.0,7.0,9.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.5,1.0,1.0,1.0,1.0,0,0,0
lammps/src/MANYBODY/pair_lcbop.h,2134,1.0,15.0,1.0,33.0,108.0,83.0,3.0,3.0,3.0,1.0,17.0,1.0,15.0,1.0,1.0,2.0,207.0,31.0,97.0,71.0,22.0,83.0,3.0,10.0,65.0,70.0,53.0,0.0,17.0,3.0,3.0,3.0,1.0,1.0,0.86,6.0,6.0,6.0,2.0,0,0,0
lammps/src/read_dump.cpp,2135,9.0,39.0,5.0,174.0,650.0,138.0,14.0,12.0,15.0,3.0,52.0,9.0,39.0,5.0,0.0,16.0,961.0,174.0,626.0,78.0,521.0,138.0,0.0,24.0,470.0,680.0,78.0,0.0,602.0,53.0,53.0,60.0,18.0,4.0,0.22,217.0,199.0,241.0,60.0,0,0,0
lammps/src/USER-OMP/pair_tersoff_mod_omp.cpp,2137,10.0,42.0,3.0,51.0,178.0,25.0,8.0,8.0,9.0,5.0,54.0,10.0,41.0,3.0,0.0,4.0,251.0,51.0,167.0,28.0,128.0,25.0,1.0,11.0,139.0,170.0,26.0,0.0,144.0,22.0,22.0,25.0,19.0,4.0,0.15,30.0,30.0,34.0,22.0,0,0,0
lammps/lib/atc/ElectronChargeDensity.h,2138,0.0,8.0,0.0,21.0,221.0,32.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,5.0,21.0,269.0,21.0,213.0,114.0,104.0,32.0,0.0,8.0,139.0,163.0,96.0,0.0,67.0,7.0,7.0,7.0,4.0,3.0,0.15,37.0,37.0,37.0,24.0,0,0,0
lammps/src/MOLECULE/pair_lj_charmm_coul_charmm_implicit.cpp,2140,6.0,54.0,0.0,26.0,169.0,16.0,9.0,9.0,10.0,1.0,60.0,6.0,54.0,0.0,0.0,3.0,211.0,26.0,163.0,26.0,126.0,16.0,0.0,6.0,101.0,129.0,20.0,0.0,109.0,17.0,17.0,19.0,1.0,6.0,0.1,27.0,27.0,29.0,3.0,0,0,0
lammps/src/USER-OMP/improper_cossq_omp.cpp,2141,12.0,50.0,15.0,44.0,165.0,62.0,7.0,7.0,9.0,1.0,77.0,12.0,49.0,15.0,0.0,3.0,270.0,44.0,150.0,23.0,116.0,62.0,1.0,15.0,106.0,128.0,21.0,0.0,107.0,12.0,12.0,17.0,1.0,4.0,0.41,21.0,21.0,27.0,3.0,0,0,0
lammps/lib/gpu/lal_colloid.cpp,2144,2.0,16.0,0.0,26.0,135.0,20.0,2.0,2.0,3.0,1.0,19.0,2.0,16.0,0.0,0.0,7.0,181.0,26.0,125.0,44.0,80.0,20.0,2.0,9.0,69.0,87.0,25.0,0.0,62.0,7.0,7.0,8.0,1.0,2.0,0.16,17.0,17.0,18.0,7.0,0,0,0
lammps/lib/qmmm/libqmmm.c,2148,9.0,42.0,1.0,65.0,259.0,22.0,18.0,18.0,21.0,6.0,52.0,9.0,42.0,1.0,0.0,6.0,346.0,65.0,252.0,14.0,224.0,22.0,0.0,7.0,181.0,291.0,14.0,0.0,277.0,52.0,52.0,60.0,29.0,3.0,0.09,110.0,110.0,124.0,37.0,0,0,0
lammps/src/bond.cpp,2150,3.0,25.0,0.0,29.0,159.0,30.0,6.0,6.0,7.0,1.0,28.0,3.0,25.0,0.0,0.0,6.0,218.0,29.0,150.0,13.0,110.0,30.0,0.0,9.0,101.0,138.0,11.0,0.0,127.0,17.0,17.0,21.0,1.0,4.0,0.2,36.0,36.0,43.0,6.0,0,0,0
lammps/src/KOKKOS/kokkos.cpp,2151,4.0,30.0,1.0,30.0,161.0,27.0,8.0,8.0,10.0,1.0,35.0,4.0,26.0,1.0,0.0,5.0,218.0,30.0,131.0,22.0,104.0,27.0,11.0,21.0,87.0,130.0,22.0,0.0,108.0,19.0,19.0,20.0,3.0,4.0,0.21,42.0,42.0,49.0,7.0,0,0,0
lammps/src/pair_morse.cpp,2152,2.0,16.0,0.0,64.0,236.0,48.0,4.0,4.0,4.0,1.0,19.0,2.0,16.0,0.0,0.0,14.0,348.0,64.0,226.0,47.0,157.0,48.0,0.0,10.0,169.0,220.0,45.0,0.0,175.0,9.0,9.0,11.0,1.0,4.0,0.21,51.0,51.0,54.0,14.0,0,0,0
