File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
compute_stress_atom.cpp,3393,6.0,37.0,4.0,59.0,280.0,49.0,11.0,11.0,12.0,1.0,47.0,6.0,37.0,4.0,0.0,7.0,388.0,59.0,263.0,40.0,210.0,49.0,0.0,17.0,204.0,282.0,38.0,0.0,244.0,51.0,51.0,61.0,1.0,6.0,0.19,77.0,77.0,87.0,7.0,2,2.0,1
fix_qmmm.cpp,3394,5.0,28.0,4.0,139.0,548.0,169.0,6.0,6.0,7.0,1.0,37.0,5.0,28.0,4.0,0.0,18.0,843.0,139.0,531.0,121.0,373.0,169.0,1.0,16.0,358.0,475.0,113.0,0.0,362.0,26.0,26.0,27.0,3.0,6.0,0.32,116.0,116.0,122.0,20.0,0,0.0,0
pair_nb3b_harmonic.cpp,3395,7.0,28.0,3.0,105.0,326.0,68.0,8.0,8.0,8.0,3.0,38.0,7.0,28.0,3.0,0.0,11.0,499.0,105.0,307.0,49.0,234.0,68.0,0.0,19.0,247.0,331.0,45.0,0.0,286.0,27.0,27.0,29.0,15.0,6.0,0.22,83.0,83.0,90.0,34.0,2,2.0,1
compute_erotate_sphere.cpp,3396,2.0,10.0,1.0,16.0,41.0,19.0,2.0,2.0,2.0,1.0,13.0,2.0,10.0,1.0,0.0,3.0,75.0,16.0,31.0,12.0,20.0,19.0,0.0,10.0,19.0,27.0,11.0,0.0,16.0,3.0,3.0,3.0,1.0,2.0,0.61,7.0,7.0,7.0,3.0,0,0.0,0
dihedral_helix.cpp,3397,7.0,30.0,1.0,67.0,230.0,37.0,5.0,5.0,6.0,1.0,38.0,7.0,30.0,1.0,0.0,7.0,334.0,67.0,214.0,32.0,172.0,37.0,0.0,16.0,171.0,204.0,34.0,0.0,170.0,19.0,19.0,25.0,1.0,3.0,0.17,33.0,33.0,39.0,7.0,1,1.0,0
compute_rdf.cpp,3398,9.0,42.0,4.0,57.0,229.0,41.0,11.0,11.0,12.0,2.0,55.0,9.0,42.0,4.0,0.0,5.0,327.0,57.0,213.0,34.0,175.0,41.0,0.0,16.0,203.0,258.0,32.0,0.0,226.0,26.0,26.0,29.0,8.0,5.0,0.19,55.0,55.0,60.0,12.0,16,29.0,9
compute_rigid_local.cpp,3399,3.0,34.0,1.0,38.0,253.0,29.0,13.0,8.0,13.0,1.0,37.0,3.0,34.0,1.0,0.0,7.0,320.0,38.0,242.0,28.0,207.0,29.0,0.0,11.0,172.0,266.0,25.0,0.0,241.0,41.0,38.0,41.0,4.0,4.0,0.12,92.0,59.0,92.0,10.0,6,10.0,4
example_chol_performance_device_pthread.cpp,3400,6.0,44.0,1.0,13.0,54.0,1.0,13.0,13.0,13.0,13.0,50.0,6.0,44.0,1.0,0.0,1.0,67.0,13.0,50.0,18.0,39.0,1.0,0.0,4.0,47.0,62.0,20.0,0.0,42.0,13.0,13.0,13.0,13.0,2.0,0.02,13.0,13.0,13.0,13.0,4,8.0,3
neigh_derive.cpp,3401,17.0,71.0,7.0,157.0,578.0,110.0,13.0,13.0,13.0,8.0,95.0,17.0,71.0,7.0,0.0,8.0,845.0,157.0,570.0,156.0,437.0,110.0,0.0,8.0,491.0,594.0,174.0,0.0,420.0,29.0,29.0,29.0,18.0,5.0,0.19,102.0,102.0,104.0,64.0,4,6.0,3
Cu_Mishin1.c,3402,1.0,9.0,1.0,17.0,102.0,29.0,2.0,2.0,2.0,1.0,11.0,1.0,9.0,1.0,0.0,7.0,123.0,17.0,66.0,20.0,51.0,29.0,0.0,36.0,36.0,51.0,20.0,0.0,31.0,5.0,5.0,5.0,3.0,1.0,0.44,15.0,15.0,15.0,9.0,0,0.0,0
pair_lj_class2_kokkos.cpp,3403,2.0,16.0,0.0,49.0,198.0,35.0,3.0,3.0,4.0,1.0,18.0,2.0,16.0,0.0,0.0,10.0,282.0,49.0,174.0,47.0,121.0,35.0,1.0,23.0,107.0,137.0,30.0,0.0,107.0,9.0,9.0,12.0,1.0,2.0,0.2,32.0,32.0,39.0,10.0,25,35.0,21
neigh_respa_omp.cpp,3404,29.0,146.0,6.0,156.0,744.0,72.0,40.0,40.0,44.0,9.0,181.0,29.0,143.0,6.0,0.0,5.0,972.0,156.0,718.0,180.0,593.0,72.0,5.0,26.0,546.0,733.0,196.0,10.0,527.0,54.0,54.0,61.0,14.0,6.0,0.1,198.0,198.0,221.0,48.0,4,6.0,3
UnitTestMain.cpp,3405,0.0,4.0,0.0,3.0,5.0,42.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,50.0,3.0,4.0,1.0,2.0,42.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,10.5,1.0,1.0,1.0,1.0,20,26.0,16
pair_smtbq.cpp,3406,17.0,47.0,9.0,1043.0,2581.0,626.0,10.0,10.0,11.0,3.0,72.0,17.0,47.0,9.0,0.0,54.0,4195.0,1043.0,2556.0,298.0,2027.0,626.0,0.0,25.0,2190.0,2711.0,285.0,1.0,2425.0,90.0,90.0,95.0,43.0,7.0,0.24,518.0,518.0,574.0,168.0,2,11.0,2
sockets.c,3407,3.0,14.0,8.0,20.0,63.0,66.0,3.0,3.0,3.0,1.0,24.0,3.0,14.0,8.0,0.0,4.0,147.0,20.0,54.0,15.0,33.0,66.0,0.0,9.0,41.0,53.0,16.0,0.0,37.0,6.0,6.0,6.0,1.0,2.0,1.22,12.0,12.0,13.0,4.0,0,0.0,0
fix_nph_kokkos.cpp,3408,7.0,31.0,7.0,13.0,44.0,20.0,3.0,3.0,3.0,1.0,45.0,7.0,31.0,7.0,0.0,1.0,77.0,13.0,37.0,8.0,27.0,20.0,1.0,6.0,28.0,34.0,7.0,0.0,27.0,3.0,3.0,3.0,1.0,1.0,0.54,3.0,3.0,3.0,1.0,8,8.0,8
atom_vec_hybrid.cpp,3409,3.0,21.0,1.0,182.0,770.0,131.0,5.0,5.0,5.0,1.0,25.0,3.0,21.0,1.0,0.0,36.0,1083.0,182.0,747.0,136.0,555.0,131.0,0.0,23.0,590.0,757.0,132.0,0.0,625.0,22.0,22.0,26.0,3.0,4.0,0.18,176.0,176.0,181.0,40.0,3,6.0,3
bond_hybrid.cpp,3410,3.0,18.0,2.0,68.0,231.0,63.0,6.0,6.0,7.0,1.0,24.0,3.0,18.0,2.0,0.0,12.0,362.0,68.0,219.0,45.0,156.0,63.0,0.0,12.0,185.0,262.0,44.0,0.0,218.0,21.0,21.0,22.0,4.0,4.0,0.29,76.0,76.0,79.0,17.0,3,7.0,3
KokkosAlgorithms_dummy.cpp,3413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0
pair_reax.cpp,3414,8.0,31.0,2.0,228.0,730.0,114.0,5.0,5.0,6.0,1.0,41.0,8.0,31.0,2.0,0.0,23.0,1072.0,228.0,713.0,144.0,507.0,114.0,0.0,17.0,589.0,713.0,168.0,0.0,545.0,23.0,23.0,26.0,11.0,6.0,0.16,124.0,124.0,138.0,37.0,4,5.0,2
compute_pe_mol_tally.cpp,3415,3.0,14.0,1.0,28.0,82.0,20.0,4.0,4.0,6.0,1.0,18.0,3.0,14.0,1.0,0.0,5.0,129.0,28.0,73.0,12.0,48.0,20.0,0.0,9.0,37.0,57.0,9.0,0.0,48.0,7.0,7.0,12.0,1.0,3.0,0.27,19.0,19.0,32.0,5.0,8,12.0,5
ewald.cpp,3416,12.0,59.0,5.0,255.0,1076.0,160.0,9.0,9.0,10.0,1.0,75.0,12.0,59.0,5.0,0.0,18.0,1487.0,255.0,1061.0,126.0,881.0,160.0,0.0,15.0,889.0,1046.0,124.0,1.0,921.0,28.0,28.0,29.0,5.0,5.0,0.15,168.0,168.0,178.0,25.0,5,9.0,4
fix_nve_sphere_omp.cpp,3417,18.0,65.0,22.0,44.0,147.0,60.0,8.0,8.0,9.0,1.0,103.0,18.0,59.0,22.0,0.0,2.0,248.0,44.0,122.0,36.0,95.0,60.0,4.0,25.0,115.0,132.0,39.0,0.0,93.0,12.0,12.0,13.0,1.0,5.0,0.49,16.0,16.0,17.0,2.0,5,5.0,5
pppm_intel.cpp,3418,8.0,37.0,5.0,119.0,446.0,104.0,6.0,6.0,7.0,1.0,50.0,8.0,35.0,5.0,0.0,11.0,669.0,119.0,390.0,163.0,289.0,104.0,21.0,44.0,310.0,383.0,161.0,1.0,221.0,20.0,20.0,20.0,1.0,4.0,0.27,70.0,70.0,80.0,11.0,12,16.0,7
compute_damage_atom.cpp,3419,3.0,13.0,1.0,28.0,75.0,27.0,4.0,4.0,4.0,2.0,17.0,3.0,13.0,1.0,0.0,5.0,130.0,28.0,64.0,19.0,42.0,27.0,0.0,11.0,45.0,65.0,18.0,0.0,47.0,8.0,8.0,8.0,6.0,4.0,0.42,19.0,19.0,20.0,10.0,2,5.0,2
lal_re_squared.cpp,3420,4.0,32.0,1.0,41.0,250.0,27.0,3.0,3.0,3.0,1.0,38.0,4.0,32.0,1.0,0.0,7.0,318.0,41.0,237.0,38.0,191.0,27.0,4.0,11.0,132.0,154.0,24.0,0.0,130.0,8.0,8.0,8.0,4.0,3.0,0.11,21.0,21.0,22.0,10.0,0,0.0,0
pair_coul_diel.cpp,3425,3.0,17.0,0.0,64.0,236.0,48.0,4.0,4.0,4.0,1.0,20.0,3.0,17.0,0.0,0.0,13.0,348.0,64.0,224.0,49.0,158.0,48.0,0.0,12.0,168.0,215.0,48.0,0.0,167.0,9.0,9.0,11.0,1.0,4.0,0.21,47.0,47.0,50.0,13.0,7,22.0,6
WeakEquationChargeDiffusion.cpp,3426,0.0,5.0,0.0,5.0,22.0,13.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,3.0,39.0,5.0,17.0,12.0,4.0,13.0,0.0,5.0,4.0,9.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.76,3.0,3.0,3.0,3.0,0,0.0,0
ThermalTimeIntegrator.cpp,3427,1.0,9.0,2.0,76.0,373.0,249.0,1.0,1.0,1.0,1.0,11.0,1.0,9.0,2.0,0.0,40.0,698.0,76.0,367.0,98.0,186.0,249.0,0.0,6.0,127.0,190.0,65.0,0.0,125.0,11.0,8.0,11.0,1.0,3.0,0.68,58.0,55.0,58.0,40.0,0,0.0,0
fix_nve_line.cpp,3428,4.0,18.0,2.0,33.0,101.0,28.0,4.0,4.0,4.0,1.0,24.0,4.0,18.0,2.0,0.0,5.0,161.0,33.0,91.0,37.0,67.0,28.0,0.0,10.0,71.0,93.0,38.0,0.0,55.0,6.0,6.0,6.0,1.0,3.0,0.31,19.0,19.0,19.0,5.0,0,0.0,0
dump_cfg_mpiio.cpp,3429,6.0,26.0,4.0,88.0,361.0,79.0,4.0,4.0,5.0,1.0,34.0,6.0,22.0,3.0,0.0,8.0,507.0,70.0,174.0,26.0,129.0,50.0,177.0,48.0,116.0,150.0,26.0,0.0,124.0,9.0,9.0,12.0,1.0,2.0,0.29,33.0,33.0,37.0,8.0,2,2.0,1
compute_spec_atom.cpp,3431,2.0,12.0,0.0,136.0,450.0,60.0,4.0,4.0,4.0,1.0,14.0,2.0,12.0,0.0,0.0,35.0,646.0,136.0,437.0,143.0,292.0,60.0,0.0,13.0,291.0,428.0,142.0,0.0,286.0,35.0,35.0,35.0,1.0,3.0,0.14,136.0,136.0,136.0,35.0,6,7.0,4
domain.cpp,3432,5.0,32.0,2.0,280.0,1368.0,289.0,11.0,11.0,13.0,1.0,38.0,5.0,32.0,2.0,0.0,42.0,1933.0,280.0,1333.0,189.0,1009.0,289.0,0.0,35.0,936.0,1317.0,185.0,0.0,1132.0,61.0,61.0,63.0,12.0,4.0,0.22,461.0,461.0,542.0,83.0,28,39.0,21
TestDefaultDeviceTypeInit_1.cpp,3433,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0
lal_base_atomic.cpp,3434,3.0,16.0,1.0,46.0,207.0,32.0,2.0,2.0,3.0,1.0,19.0,3.0,16.0,1.0,0.0,12.0,285.0,46.0,205.0,63.0,136.0,32.0,0.0,2.0,114.0,144.0,27.0,0.0,117.0,6.0,6.0,7.0,4.0,2.0,0.16,29.0,29.0,30.0,18.0,0,0.0,0
lal_lj_class2_long_ext.cpp,3435,2.0,17.0,0.0,19.0,93.0,17.0,3.0,3.0,4.0,1.0,19.0,2.0,17.0,0.0,0.0,5.0,129.0,19.0,89.0,34.0,54.0,17.0,0.0,4.0,35.0,53.0,17.0,0.0,36.0,12.0,12.0,14.0,1.0,3.0,0.19,16.0,16.0,18.0,5.0,1,1.0,0
write_restart.cpp,3436,5.0,25.0,3.0,128.0,465.0,120.0,6.0,6.0,6.0,1.0,33.0,5.0,25.0,3.0,0.0,17.0,712.0,128.0,436.0,85.0,320.0,120.0,0.0,29.0,294.0,388.0,68.0,0.0,320.0,38.0,38.0,41.0,1.0,4.0,0.28,98.0,98.0,108.0,17.0,9,11.0,6
write_coeff.cpp,3437,8.0,72.0,3.0,12.0,85.0,18.0,14.0,14.0,19.0,4.0,81.0,8.0,72.0,3.0,0.0,1.0,113.0,12.0,73.0,6.0,58.0,18.0,0.0,12.0,46.0,61.0,7.0,0.0,54.0,14.0,14.0,19.0,4.0,3.0,0.25,14.0,14.0,19.0,4.0,2,3.0,1
ConcentrationRegulator.cpp,3439,0.0,14.0,1.0,31.0,489.0,128.0,2.0,2.0,3.0,1.0,15.0,0.0,12.0,1.0,0.0,34.0,635.0,31.0,420.0,146.0,238.0,125.0,46.0,26.0,253.0,346.0,119.0,0.0,227.0,7.0,7.0,7.0,7.0,3.0,0.3,83.0,82.0,86.0,48.0,0,0.0,0
fix_wall_harmonic.cpp,3440,3.0,15.0,0.0,11.0,36.0,19.0,5.0,5.0,5.0,3.0,18.0,3.0,15.0,0.0,0.0,2.0,66.0,11.0,32.0,12.0,22.0,19.0,0.0,4.0,24.0,35.0,13.0,0.0,22.0,8.0,8.0,8.0,5.0,3.0,0.59,9.0,9.0,9.0,6.0,6,9.0,3
