,hash,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
6370,28ddab4e86ad659ba3f8d9a7dffeff082bf91492,1,1,1,0.0,10,50,62.0,16,58.95351851851852,10,103253.0,1.0169625159808888,2930,0,0,0
6371,4761752c4fcc53a43738cf546430ea8ca0fd2c58,1,1,1,0.0,12,63,-6.0,16,58.95528935185185,9,103254.0,1.016962006479722,2931,0,0,0
6372,312c96aa6df48148c3c2299e3d30555a40586222,1,1,1,0.0,8,37,49.0,16,58.95690972222222,10,103255.0,1.0169615402963204,2932,0,0,0
6373,f1abe4a9669d8313680d7dc93449b95c9699b8eb,1,1,1,0.0,8,46,-7.0,16,58.95905092592593,9,103256.0,1.0169609243075566,2933,0,0,0
6374,a062e046d7ad06756b320d73da5bcd8bc7a4c294,1,1,1,0.0,12,65,-4.0,16,58.96233796296296,11,103257.0,1.0169599787686192,2934,0,0,0
6375,3a3bff3e586755bb4919bfd826f3a7115b9d0667,1,1,2,1.0,16,2,576.0,1,6.797152777777778,18,103258.5,1.1103403181479172,1010,0,0,0
6376,67a984260ca606483e483d02346374562779d507,1,1,2,1.0,13,13,341.5,1,2.52568287037037,148,103260.5,1.2637057912855219,1012,0,0,0
6377,c1030bf55e4a5355700c43cdfc13f30535ffc0ff,1,1,1,0.0,35,33,127.0,16,60.93202546296296,12,103308.0,1.0164117308164626,2944,0,0,0
6378,892b71d3b0e0179045cfdddfd659445fcad34001,1,1,2,0.9182958340544896,39,0,341.5,1,3.044039351851852,150,103262.5,1.246383148609342,1014,0,0,0
6379,872fe68989b586493c4c25e67d7a46fc2fb3344f,2,2,2,0.9774178175281716,16,1,-19.0,16,5.428917824074074,25,103264.5,1.1314591146910458,2935,0,0,0
6380,555236413619999aab666f03a04726cf16bf09a9,2,2,2,0.9456603046006402,5,6,20.0,16,10.08130787037037,22,103266.5,1.0749350851320256,2936,0,0,0
6381,ad244cb30b10cc9ab46dc08456a92b8716996b12,2,2,2,0.9649567669505688,41,0,256.5,16,24.465497685185184,25,103268.5,1.021600779342581,2937,0,0,0
6382,0c00bbdcc5b1fffbfcf1893a7d1321011213583d,2,2,2,0.863120568566631,35,0,-10.5,16,24.683287037037037,23,103291.5,1.0214537813867708,2938,0,0,0
