File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
src/numerics/dense_matrix.C,06d2a9c,5.0,20.0,7.0,190.0,444.0,194.0,5.0,5.0,5.0,1.0,31.0,5.0,20.0,7.0,0.0,18.0,821.0,190.0,432.0,147.0,225.0,194.0,3.0,9.0,233.0,375.0,173.0,0.0,202.0,12.0,12.0,12.0,6.0,6.0,0.45,87.0,82.0,89.0,25.0,0.0
src/error_estimation/adjoint_residual_error_estimator.C,06d2a9c,14.0,89.0,22.0,40.0,191.0,62.0,12.0,12.0,13.0,1.0,118.0,14.0,89.0,22.0,0.0,2.0,280.0,40.0,180.0,36.0,103.0,62.0,0.0,11.0,81.0,105.0,26.0,0.0,79.0,22.0,22.0,24.0,1.0,5.0,0.34,23.0,23.0,25.0,2.0,0.0
src/error_estimation/jump_error_estimator.C,06d2a9c,16.0,53.0,37.0,83.0,230.0,167.0,6.0,6.0,7.0,2.0,102.0,14.0,36.0,33.0,0.0,4.0,465.0,74.0,145.0,51.0,95.0,153.0,87.0,20.0,87.0,110.0,37.0,1.0,72.0,19.0,19.0,24.0,6.0,6.0,1.06,22.0,22.0,27.0,9.0,0.0
src/mesh/mesh_generation.C,06d2a9c,39.0,151.0,20.0,462.0,1591.0,313.0,32.0,20.0,33.0,1.0,207.0,39.0,151.0,20.0,0.0,8.0,2321.0,356.0,1217.0,182.0,894.0,196.0,554.0,33.0,652.0,920.0,128.0,5.0,787.0,213.0,142.0,221.0,1.0,7.0,0.16,253.0,163.0,261.0,8.0,0.0
src/mesh/nemesis_io.C,06d2a9c,0.0,6.0,0.0,273.0,705.0,410.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,0.0,13.0,1351.0,57.0,76.0,35.0,21.0,40.0,1153.0,46.0,19.0,34.0,16.0,0.0,18.0,1.0,1.0,1.0,1.0,0.0,0.53,13.0,13.0,13.0,13.0,0.0
examples/subdomains/subdomains_ex2/subdomains_ex2.C,06d2a9c,48.0,123.0,99.0,121.0,273.0,244.0,22.0,22.0,23.0,1.0,269.0,48.0,113.0,99.0,0.0,2.0,637.0,121.0,232.0,72.0,170.0,244.0,6.0,35.0,142.0,175.0,63.0,2.0,110.0,26.0,26.0,28.0,1.0,6.0,1.05,43.0,43.0,46.0,2.0,0.0
src/mesh/mesh_data.C,06d2a9c,4.0,19.0,3.0,206.0,467.0,100.0,3.0,3.0,3.0,1.0,26.0,3.0,17.0,3.0,0.0,24.0,772.0,201.0,404.0,64.0,249.0,92.0,57.0,19.0,179.0,245.0,39.0,2.0,204.0,7.0,7.0,8.0,4.0,2.0,0.23,65.0,65.0,79.0,36.0,0.0
examples/fem_system/fem_system_ex2/solid_system.C,06d2a9c,7.0,28.0,9.0,66.0,219.0,82.0,5.0,5.0,6.0,2.0,44.0,7.0,28.0,9.0,0.0,7.0,365.0,66.0,200.0,74.0,148.0,82.0,1.0,19.0,152.0,190.0,66.0,0.0,124.0,16.0,16.0,16.0,11.0,7.0,0.41,38.0,38.0,40.0,17.0,0.0
src/solvers/time_solver.C,06d2a9c,0.0,5.0,0.0,29.0,57.0,17.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,0.0,9.0,101.0,29.0,52.0,19.0,16.0,17.0,0.0,5.0,14.0,26.0,10.0,0.0,16.0,3.0,3.0,3.0,1.0,1.0,0.33,11.0,11.0,11.0,9.0,0.0
src/mesh/tetgen_io.C,06d2a9c,11.0,34.0,13.0,75.0,178.0,93.0,5.0,5.0,5.0,1.0,55.0,11.0,33.0,13.0,0.0,5.0,332.0,75.0,170.0,36.0,123.0,93.0,0.0,8.0,101.0,128.0,33.0,1.0,94.0,8.0,8.0,8.0,1.0,2.0,0.55,25.0,25.0,26.0,5.0,0.0
src/numerics/trilinos_epetra_vector.C,06d2a9c,0.0,0.0,0.0,268.0,572.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,6.0,0.0,0.0,0.0,16.0,1078.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/geom/face_tri3.C,06d2a9c,2.0,15.0,0.0,53.0,156.0,45.0,2.0,2.0,2.0,1.0,17.0,2.0,15.0,0.0,0.0,8.0,238.0,48.0,128.0,43.0,71.0,25.0,36.0,5.0,56.0,77.0,24.0,0.0,53.0,5.0,3.0,5.0,5.0,2.0,0.2,16.0,13.0,16.0,14.0,0.0
src/mesh/exodusII_io_helper.C,06d2a9c,0.0,0.0,0.0,455.0,1291.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,7.0,0.0,0.0,0.0,14.0,1895.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
